# Хештеги для Ozon. Формат: категория | хештеги через пробел
#
# Правила Ozon (docs/ozon/ozon-ranking-2026.md §6):
#   до 30 тегов, каждый до 30 знаков; кириллица, латиница, цифры и «_»;
#   многословный тег — слова через нижнее подчёркивание;
#   не дублировать бренд, категорию и характеристики — для них свои поля.
#
# Рекомендуют 5–10 осмысленных, а не тридцать. Берём формулировки из ядра
# WB, но выбрасываем те, что повторяют название категории: «таблетница»
# в категории «Таблетница» — это дубль, а не тег.
#
# Хештеги влияют не только на поиск: по ним собираются тематические
# подборки, и они же учитываются в рекламе (трафареты, вывод в топ).
#
# «Шампанское» у пробок не ведём — решение владелицы 03.09.2026:
# пробка не держит давление газа. Ни в тегах, ни где-либо ещё.

Таблетница | #органайзер_для_таблеток #контейнер_для_лекарств #на_неделю #утро_вечер #для_витаминов #хранение_лекарств #в_дорогу #аптечка

Мешок для стирки | #сетка_для_стирки #деликатная_стирка #стирка_белья #уход_за_одеждой #для_бюстгальтера #защита_белья #стиральная_машина

Маска-бандаж | #подтяжка_лица #овал_лица #уход_за_лицом #второй_подбородок #лифтинг #домашний_уход

Игрушка для животных | #игрушки_для_собак #прочная_игрушка #для_крупных_пород #для_мелких_пород #канат_для_собак #активные_игры #для_питомца

Кухонный нож | #нож_для_пиццы #для_теста #тесторезка #кухонные_принадлежности #выпечка #для_кондитера

Пробка | #пробка_для_вина #винные_аксессуары #сервировка #многоразовая #барные_аксессуары #для_бутылки

Фитнес и йога | #скакалка #фитнес_резинки #домашние_тренировки #кардио #для_ягодиц #спортинвентарь #растяжка

Шпатель-скребок кондитерский | #кондитерский_инвентарь #для_теста #выпечка #для_кондитера #скребок_для_теста #лопатка

Аксессуар для массажа | #массаж_шеи #роликовый_массажер #самомассаж #расслабление #после_работы #уход_за_телом

Спортивный массажный мяч | #мфр #миофасциальный_релиз #массаж_стоп #йога #пилатес #самомассаж #восстановление
